# 5%

step 0: train loss 4.1861, val loss 4.1881
step 0: train loss (forward only) 4.1876, val loss (forward only) 4.1891
step 0: train loss (backward only) 4.1770, val loss (backward only) 4.1776
iter 47: loss 2.9104, time 145.04ms, mfu 0.23%
iter 48: loss 2.9366, time 146.07ms, mfu 0.23%
iter 49: loss 2.8886, time 145.54ms, mfu 0.23%
iter 50: loss 2.8616, time 150.98ms, mfu 0.23%
iter 51: loss 2.8823, time 147.28ms, mfu 0.23%
iter 52: loss 2.8662, time 149.57ms, mfu 0.23%
iter 53: loss 2.8136, time 148.17ms, mfu 0.23%
iter 54: loss 2.8318, time 147.28ms, mfu 0.23%
iter 55: loss 2.8416, time 143.70ms, mfu 0.23%
iter 56: loss 2.7957, time 145.31ms, mfu 0.23%
iter 57: loss 2.7876, time 145.77ms, mfu 0.23%
iter 58: loss 2.7735, time 146.45ms, mfu 0.23%
iter 59: loss 2.8004, time 145.10ms, mfu 0.23%
iter 60: loss 2.7726, time 148.40ms, mfu 0.23%
iter 61: loss 2.7640, time 145.08ms, mfu 0.23%
iter 62: loss 2.7240, time 143.76ms, mfu 0.23%
iter 63: loss 2.6961, time 146.39ms, mfu 0.23%
iter 64: loss 2.7232, time 147.79ms, mfu 0.23%
iter 65: loss 2.7431, time 145.21ms, mfu 0.23%
iter 66: loss 2.7118, time 147.06ms, mfu 0.23%
iter 67: loss 2.7023, time 144.81ms, mfu 0.23%
iter 68: loss 2.7276, time 145.05ms, mfu 0.23%
iter 69: loss 2.6862, time 145.22ms, mfu 0.23%
iter 70: loss 2.7144, time 145.53ms, mfu 0.23%
iter 71: loss 2.7047, time 153.54ms, mfu 0.23%
iter 72: loss 2.6659, time 150.43ms, mfu 0.23%
iter 73: loss 2.6591, time 147.30ms, mfu 0.23%
iter 74: loss 2.6452, time 154.20ms, mfu 0.23%
iter 75: loss 2.6775, time 152.30ms, mfu 0.22%
iter 76: loss 2.6584, time 144.35ms, mfu 0.23%
iter 77: loss 2.6496, time 145.33ms, mfu 0.23%
iter 78: loss 2.6449, time 146.32ms, mfu 0.23%
iter 79: loss 2.6170, time 144.93ms, mfu 0.23%
iter 80: loss 2.6265, time 149.26ms, mfu 0.23%
iter 81: loss 2.5886, time 144.80ms, mfu 0.23%
iter 82: loss 2.6451, time 146.04ms, mfu 0.23%
iter 83: loss 2.6435, time 145.25ms, mfu 0.23%
iter 84: loss 2.6267, time 144.85ms, mfu 0.23%
iter 85: loss 2.6283, time 145.22ms, mfu 0.23%
iter 86: loss 2.6464, time 147.78ms, mfu 0.23%
iter 87: loss 2.6333, time 149.13ms, mfu 0.23%
iter 88: loss 2.6167, time 145.21ms, mfu 0.23%
iter 89: loss 2.6116, time 147.73ms, mfu 0.23%
iter 90: loss 2.5992, time 147.98ms, mfu 0.23%
iter 91: loss 2.5942, time 150.73ms, mfu 0.23%
iter 92: loss 2.6340, time 173.68ms, mfu 0.22%
iter 93: loss 2.6071, time 152.71ms, mfu 0.22%
iter 94: loss 2.5770, time 140.69ms, mfu 0.22%
iter 95: loss 2.5797, time 155.09ms, mfu 0.22%
iter 96: loss 2.6324, time 152.08ms, mfu 0.22%
iter 97: loss 2.6193, time 156.67ms, mfu 0.22%
iter 98: loss 2.6498, time 150.73ms, mfu 0.22%
iter 99: loss 2.5979, time 154.91ms, mfu 0.22%
iter 100: loss 2.6005, time 149.26ms, mfu 0.22%
iter 101: loss 2.5771, time 158.03ms, mfu 0.22%
iter 102: loss 2.6196, time 143.81ms, mfu 0.22%
iter 103: loss 2.6109, time 151.91ms, mfu 0.22%
iter 104: loss 2.6206, time 144.54ms, mfu 0.22%
iter 105: loss 2.5818, time 149.73ms, mfu 0.22%
iter 106: loss 2.5899, time 147.34ms, mfu 0.22%
iter 107: loss 2.5935, time 146.37ms, mfu 0.22%
iter 108: loss 2.6093, time 151.12ms, mfu 0.22%
iter 109: loss 2.5824, time 149.67ms, mfu 0.22%
iter 110: loss 2.5686, time 148.33ms, mfu 0.22%
iter 111: loss 2.5650, time 146.08ms, mfu 0.22%
iter 112: loss 2.5786, time 145.23ms, mfu 0.22%
iter 113: loss 2.5497, time 146.68ms, mfu 0.22%
iter 114: loss 2.6097, time 147.61ms, mfu 0.22%
iter 115: loss 2.5957, time 149.97ms, mfu 0.22%
iter 116: loss 2.5403, time 147.11ms, mfu 0.22%
iter 117: loss 2.5649, time 146.48ms, mfu 0.22%
iter 118: loss 2.5477, time 146.21ms, mfu 0.23%
iter 119: loss 2.5016, time 146.18ms, mfu 0.23%
iter 120: loss 2.5621, time 146.68ms, mfu 0.23%
iter 121: loss 2.5473, time 144.75ms, mfu 0.23%
iter 122: loss 2.6150, time 149.72ms, mfu 0.23%
iter 123: loss 2.5686, time 145.12ms, mfu 0.23%
iter 124: loss 2.5188, time 147.09ms, mfu 0.23%
iter 125: loss 2.5098, time 155.22ms, mfu 0.23%
iter 126: loss 2.5298, time 142.32ms, mfu 0.23%
iter 127: loss 2.5265, time 147.80ms, mfu 0.23%
iter 128: loss 2.5386, time 147.89ms, mfu 0.23%
iter 129: loss 2.5074, time 149.39ms, mfu 0.23%
iter 130: loss 2.5460, time 143.41ms, mfu 0.23%
iter 131: loss 2.5138, time 148.38ms, mfu 0.23%
iter 132: loss 2.4985, time 148.11ms, mfu 0.23%
iter 133: loss 2.5188, time 179.95ms, mfu 0.22%
iter 134: loss 2.4875, time 133.12ms, mfu 0.22%
iter 135: loss 2.5057, time 152.98ms, mfu 0.22%
iter 136: loss 2.5058, time 143.33ms, mfu 0.22%
iter 137: loss 2.5101, time 146.03ms, mfu 0.23%
iter 138: loss 2.5017, time 146.03ms, mfu 0.23%
iter 139: loss 2.4999, time 146.51ms, mfu 0.23%
iter 140: loss 2.5370, time 152.58ms, mfu 0.23%
iter 141: loss 2.5177, time 143.72ms, mfu 0.23%
iter 142: loss 2.4963, time 145.66ms, mfu 0.23%
iter 143: loss 2.5262, time 150.36ms, mfu 0.23%
iter 144: loss 2.5061, time 148.69ms, mfu 0.23%
iter 145: loss 2.5191, time 145.66ms, mfu 0.23%
iter 146: loss 2.4901, time 145.05ms, mfu 0.23%
iter 147: loss 2.5268, time 145.23ms, mfu 0.23%
iter 148: loss 2.4987, time 145.89ms, mfu 0.23%
iter 149: loss 2.4798, time 150.42ms, mfu 0.23%
iter 150: loss 2.5147, time 155.46ms, mfu 0.23%
iter 151: loss 2.5182, time 143.84ms, mfu 0.23%
iter 152: loss 2.4963, time 147.53ms, mfu 0.23%
iter 153: loss 2.5010, time 149.25ms, mfu 0.23%
iter 154: loss 2.4838, time 146.44ms, mfu 0.23%
iter 155: loss 2.4904, time 146.33ms, mfu 0.23%
iter 156: loss 2.4777, time 145.56ms, mfu 0.23%
iter 157: loss 2.4997, time 145.91ms, mfu 0.23%
iter 158: loss 2.4943, time 147.25ms, mfu 0.23%
iter 159: loss 2.4602, time 150.90ms, mfu 0.23%
iter 160: loss 2.4746, time 212.44ms, mfu 0.22%
iter 161: loss 2.4684, time 135.12ms, mfu 0.22%
iter 162: loss 2.4749, time 146.47ms, mfu 0.22%
iter 163: loss 2.4887, time 145.89ms, mfu 0.22%
iter 164: loss 2.5056, time 144.85ms, mfu 0.22%
iter 165: loss 2.4773, time 146.89ms, mfu 0.22%
iter 166: loss 2.4671, time 149.27ms, mfu 0.22%
iter 167: loss 2.4763, time 146.25ms, mfu 0.22%
iter 168: loss 2.4645, time 144.28ms, mfu 0.23%
iter 169: loss 2.4772, time 146.39ms, mfu 0.23%
iter 170: loss 2.4471, time 147.68ms, mfu 0.23%
iter 171: loss 2.4966, time 149.95ms, mfu 0.23%
iter 172: loss 2.4826, time 146.66ms, mfu 0.23%
iter 173: loss 2.4534, time 146.24ms, mfu 0.23%
iter 174: loss 2.4683, time 146.05ms, mfu 0.23%
iter 175: loss 2.4449, time 145.86ms, mfu 0.23%
iter 176: loss 2.4795, time 148.02ms, mfu 0.23%
iter 177: loss 2.4335, time 146.73ms, mfu 0.23%
iter 178: loss 2.4181, time 143.44ms, mfu 0.23%
iter 179: loss 2.4619, time 145.14ms, mfu 0.23%
iter 180: loss 2.4581, time 147.58ms, mfu 0.23%
iter 181: loss 2.4521, time 145.68ms, mfu 0.23%
iter 182: loss 2.4556, time 145.53ms, mfu 0.23%
iter 183: loss 2.4594, time 148.67ms, mfu 0.23%
iter 184: loss 2.4621, time 145.94ms, mfu 0.23%
iter 185: loss 2.4491, time 145.82ms, mfu 0.23%
iter 186: loss 2.4501, time 145.25ms, mfu 0.23%
iter 187: loss 2.4444, time 148.51ms, mfu 0.23%
iter 188: loss 2.4164, time 145.31ms, mfu 0.23%
iter 189: loss 2.4770, time 145.64ms, mfu 0.23%
iter 190: loss 2.4438, time 147.93ms, mfu 0.23%
iter 191: loss 2.4675, time 145.60ms, mfu 0.23%
iter 192: loss 2.4411, time 144.71ms, mfu 0.23%
iter 193: loss 2.4231, time 146.74ms, mfu 0.23%
iter 194: loss 2.4384, time 147.98ms, mfu 0.23%
iter 195: loss 2.4288, time 144.70ms, mfu 0.23%
iter 196: loss 2.4222, time 145.33ms, mfu 0.23%
iter 197: loss 2.4512, time 146.96ms, mfu 0.23%
iter 198: loss 2.4418, time 146.10ms, mfu 0.23%
iter 199: loss 2.4154, time 145.02ms, mfu 0.23%
iter 200: loss 2.4299, time 148.78ms, mfu 0.23%
iter 201: loss 2.3945, time 145.34ms, mfu 0.23%
iter 202: loss 2.4051, time 160.85ms, mfu 0.23%
iter 203: loss 2.4114, time 142.45ms, mfu 0.23%
iter 204: loss 2.3989, time 147.15ms, mfu 0.23%
iter 205: loss 2.3918, time 150.65ms, mfu 0.23%
iter 206: loss 2.4015, time 143.15ms, mfu 0.23%
iter 207: loss 2.3910, time 148.04ms, mfu 0.23%
iter 208: loss 2.4156, time 145.96ms, mfu 0.23%
iter 209: loss 2.4145, time 145.17ms, mfu 0.23%
iter 210: loss 2.3804, time 147.17ms, mfu 0.23%
iter 211: loss 2.4265, time 147.20ms, mfu 0.23%
iter 212: loss 2.4125, time 147.05ms, mfu 0.23%
iter 213: loss 2.4158, time 144.80ms, mfu 0.23%
iter 214: loss 2.4108, time 146.45ms, mfu 0.23%
iter 215: loss 2.4061, time 146.41ms, mfu 0.23%
iter 216: loss 2.3911, time 146.37ms, mfu 0.23%
iter 217: loss 2.3973, time 146.35ms, mfu 0.23%
iter 218: loss 2.3885, time 146.15ms, mfu 0.23%
iter 219: loss 2.3857, time 145.90ms, mfu 0.23%
iter 220: loss 2.4128, time 145.85ms, mfu 0.23%
iter 221: loss 2.4116, time 148.32ms, mfu 0.23%
iter 222: loss 2.3670, time 144.81ms, mfu 0.23%
iter 223: loss 2.3840, time 146.15ms, mfu 0.23%
iter 224: loss 2.3692, time 146.12ms, mfu 0.23%
iter 225: loss 2.4061, time 146.77ms, mfu 0.23%
iter 226: loss 2.3913, time 145.16ms, mfu 0.23%
iter 227: loss 2.3807, time 146.55ms, mfu 0.23%
iter 228: loss 2.3815, time 145.64ms, mfu 0.23%
iter 229: loss 2.3585, time 146.91ms, mfu 0.23%
iter 230: loss 2.3385, time 144.65ms, mfu 0.23%
iter 231: loss 2.3736, time 146.73ms, mfu 0.23%
iter 232: loss 2.3598, time 147.03ms, mfu 0.23%
iter 233: loss 2.3653, time 146.46ms, mfu 0.23%
iter 234: loss 2.3863, time 148.31ms, mfu 0.23%
iter 235: loss 2.3787, time 145.12ms, mfu 0.23%
iter 236: loss 2.3535, time 145.22ms, mfu 0.23%
iter 237: loss 2.3152, time 146.20ms, mfu 0.23%
iter 238: loss 2.3329, time 146.73ms, mfu 0.23%
iter 239: loss 2.3677, time 146.08ms, mfu 0.23%
iter 240: loss 2.3642, time 145.56ms, mfu 0.23%
iter 241: loss 2.3484, time 147.47ms, mfu 0.23%
iter 242: loss 2.3639, time 144.46ms, mfu 0.23%
iter 243: loss 2.3357, time 146.12ms, mfu 0.23%
iter 244: loss 2.3399, time 146.98ms, mfu 0.23%
iter 245: loss 2.3406, time 147.48ms, mfu 0.23%
iter 246: loss 2.3290, time 147.52ms, mfu 0.23%
iter 247: loss 2.3320, time 146.90ms, mfu 0.23%
iter 248: loss 2.3325, time 145.45ms, mfu 0.23%
iter 249: loss 2.3380, time 148.64ms, mfu 0.23%
step 250: train loss 2.3272, val loss 2.3493
step 250: train loss (forward only) 2.3130, val loss (forward only) 2.3338
step 250: train loss (backward only) 2.6469, val loss (backward only) 2.6478
saving checkpoint to out-shakespeare-char
iter 250: loss 2.3582, time 11900.68ms, mfu 0.20%
iter 251: loss 2.3171, time 136.52ms, mfu 0.21%
iter 252: loss 2.3375, time 148.56ms, mfu 0.21%
iter 253: loss 2.3364, time 168.93ms, mfu 0.21%
iter 254: loss 2.3404, time 141.77ms, mfu 0.21%
iter 255: loss 2.3633, time 151.07ms, mfu 0.21%
iter 256: loss 2.3332, time 149.49ms, mfu 0.21%
iter 257: loss 2.3381, time 148.72ms, mfu 0.21%
iter 258: loss 2.3444, time 147.34ms, mfu 0.22%
iter 259: loss 2.3235, time 150.82ms, mfu 0.22%
iter 260: loss 2.3103, time 163.24ms, mfu 0.22%
iter 261: loss 2.3369, time 148.23ms, mfu 0.22%
iter 262: loss 2.3345, time 157.88ms, mfu 0.22%
iter 263: loss 2.3321, time 157.45ms, mfu 0.22%
iter 264: loss 2.3034, time 153.88ms, mfu 0.22%
iter 265: loss 2.3181, time 159.43ms, mfu 0.21%
iter 266: loss 2.3236, time 157.21ms, mfu 0.21%
iter 267: loss 2.3095, time 158.61ms, mfu 0.21%
iter 268: loss 2.2969, time 159.44ms, mfu 0.21%
iter 269: loss 2.3489, time 158.12ms, mfu 0.21%
iter 270: loss 2.3277, time 151.90ms, mfu 0.21%
iter 271: loss 2.3279, time 160.19ms, mfu 0.21%
iter 272: loss 2.3013, time 151.58ms, mfu 0.21%
iter 273: loss 2.3171, time 149.45ms, mfu 0.21%
iter 274: loss 2.3076, time 149.76ms, mfu 0.22%
iter 275: loss 2.2889, time 150.27ms, mfu 0.22%
iter 276: loss 2.2984, time 146.35ms, mfu 0.22%
iter 277: loss 2.3077, time 150.03ms, mfu 0.22%
iter 278: loss 2.2954, time 157.76ms, mfu 0.22%
iter 279: loss 2.3029, time 140.66ms, mfu 0.22%
iter 280: loss 2.3172, time 145.00ms, mfu 0.22%
iter 281: loss 2.2904, time 156.88ms, mfu 0.22%
iter 282: loss 2.3059, time 149.20ms, mfu 0.22%
iter 283: loss 2.2724, time 146.33ms, mfu 0.22%
iter 284: loss 2.2778, time 147.42ms, mfu 0.22%
iter 285: loss 2.3106, time 145.87ms, mfu 0.22%
iter 286: loss 2.3066, time 149.17ms, mfu 0.22%
iter 287: loss 2.3078, time 147.62ms, mfu 0.22%
iter 288: loss 2.3047, time 147.30ms, mfu 0.22%
iter 289: loss 2.3091, time 148.11ms, mfu 0.22%
iter 290: loss 2.2765, time 146.83ms, mfu 0.22%
iter 291: loss 2.3189, time 146.99ms, mfu 0.22%
iter 292: loss 2.2681, time 146.35ms, mfu 0.22%
iter 293: loss 2.2700, time 152.34ms, mfu 0.22%
iter 294: loss 2.2828, time 144.64ms, mfu 0.22%
iter 295: loss 2.2713, time 146.25ms, mfu 0.22%
iter 296: loss 2.2846, time 147.78ms, mfu 0.22%
iter 297: loss 2.3049, time 150.77ms, mfu 0.22%
iter 298: loss 2.2816, time 146.06ms, mfu 0.22%
iter 299: loss 2.2848, time 145.79ms, mfu 0.23%
iter 300: loss 2.2832, time 149.61ms, mfu 0.22%
iter 301: loss 2.2772, time 146.83ms, mfu 0.23%
iter 302: loss 2.2834, time 145.30ms, mfu 0.23%
iter 303: loss 2.2741, time 146.86ms, mfu 0.23%
iter 304: loss 2.2681, time 147.17ms, mfu 0.23%
iter 305: loss 2.2720, time 147.01ms, mfu 0.23%
iter 306: loss 2.2757, time 149.94ms, mfu 0.23%
iter 307: loss 2.2621, time 145.66ms, mfu 0.23%
iter 308: loss 2.2698, time 147.41ms, mfu 0.23%
iter 309: loss 2.2879, time 149.28ms, mfu 0.23%
iter 310: loss 2.2637, time 151.21ms, mfu 0.23%
iter 311: loss 2.2783, time 169.22ms, mfu 0.22%
iter 312: loss 2.2737, time 143.59ms, mfu 0.22%
iter 313: loss 2.2782, time 154.14ms, mfu 0.22%
iter 314: loss 2.2769, time 148.91ms, mfu 0.22%
iter 315: loss 2.2694, time 157.48ms, mfu 0.22%
iter 316: loss 2.2450, time 154.07ms, mfu 0.22%
iter 317: loss 2.2372, time 147.36ms, mfu 0.22%
iter 318: loss 2.2521, time 143.66ms, mfu 0.22%
iter 319: loss 2.2575, time 148.15ms, mfu 0.22%
iter 320: loss 2.2663, time 147.66ms, mfu 0.22%
iter 321: loss 2.2474, time 147.35ms, mfu 0.22%
iter 322: loss 2.2800, time 146.42ms, mfu 0.22%
iter 323: loss 2.2283, time 155.92ms, mfu 0.22%
iter 324: loss 2.2874, time 141.04ms, mfu 0.22%
iter 325: loss 2.2334, time 150.78ms, mfu 0.22%
iter 326: loss 2.2517, time 206.42ms, mfu 0.22%
iter 327: loss 2.2440, time 104.64ms, mfu 0.23%
iter 328: loss 2.2532, time 151.90ms, mfu 0.23%
iter 329: loss 2.2522, time 150.82ms, mfu 0.23%
iter 330: loss 2.2447, time 151.53ms, mfu 0.23%
iter 331: loss 2.2274, time 146.98ms, mfu 0.23%
iter 332: loss 2.2411, time 150.34ms, mfu 0.23%
iter 333: loss 2.2325, time 145.69ms, mfu 0.23%
iter 334: loss 2.2597, time 145.82ms, mfu 0.23%
iter 335: loss 2.2315, time 145.73ms, mfu 0.23%
iter 336: loss 2.2194, time 147.74ms, mfu 0.23%
iter 337: loss 2.1978, time 146.32ms, mfu 0.23%
iter 338: loss 2.2298, time 145.83ms, mfu 0.23%
iter 339: loss 2.2768, time 146.37ms, mfu 0.23%
iter 340: loss 2.2295, time 146.45ms, mfu 0.23%
iter 341: loss 2.2317, time 146.40ms, mfu 0.23%
iter 342: loss 2.1942, time 146.80ms, mfu 0.23%
iter 343: loss 2.2239, time 148.07ms, mfu 0.23%
iter 344: loss 2.2252, time 145.12ms, mfu 0.23%
iter 345: loss 2.2050, time 145.53ms, mfu 0.23%
iter 346: loss 2.2227, time 148.63ms, mfu 0.23%
iter 347: loss 2.1995, time 144.36ms, mfu 0.23%
iter 348: loss 2.2289, time 146.13ms, mfu 0.23%
iter 349: loss 2.2302, time 145.30ms, mfu 0.23%
iter 350: loss 2.1887, time 146.99ms, mfu 0.23%
iter 351: loss 2.1986, time 146.45ms, mfu 0.23%
iter 352: loss 2.2079, time 146.08ms, mfu 0.23%
iter 353: loss 2.2091, time 187.54ms, mfu 0.22%
iter 354: loss 2.1945, time 141.52ms, mfu 0.22%
iter 355: loss 2.1972, time 146.75ms, mfu 0.22%
iter 356: loss 2.1764, time 147.72ms, mfu 0.22%
iter 357: loss 2.2042, time 151.44ms, mfu 0.22%
iter 358: loss 2.2034, time 148.17ms, mfu 0.22%
iter 359: loss 2.2184, time 145.26ms, mfu 0.22%
iter 360: loss 2.1888, time 144.85ms, mfu 0.23%
iter 361: loss 2.2032, time 146.15ms, mfu 0.23%
iter 362: loss 2.1763, time 145.22ms, mfu 0.23%
iter 363: loss 2.1766, time 145.99ms, mfu 0.23%
iter 364: loss 2.1843, time 149.21ms, mfu 0.23%
iter 365: loss 2.1957, time 145.58ms, mfu 0.23%
iter 366: loss 2.1850, time 145.98ms, mfu 0.23%
iter 367: loss 2.1859, time 148.34ms, mfu 0.23%
iter 368: loss 2.1829, time 144.44ms, mfu 0.23%
iter 369: loss 2.1535, time 148.32ms, mfu 0.23%
iter 370: loss 2.1749, time 147.01ms, mfu 0.23%
iter 371: loss 2.1721, time 148.41ms, mfu 0.23%
iter 372: loss 2.1444, time 145.09ms, mfu 0.23%
iter 373: loss 2.1882, time 146.52ms, mfu 0.23%
iter 374: loss 2.1645, time 149.10ms, mfu 0.23%
iter 375: loss 2.1738, time 144.65ms, mfu 0.23%
iter 376: loss 2.1937, time 145.74ms, mfu 0.23%
iter 377: loss 2.1653, time 147.87ms, mfu 0.23%
iter 378: loss 2.1483, time 149.32ms, mfu 0.23%
iter 379: loss 2.1483, time 186.39ms, mfu 0.22%
iter 380: loss 2.1615, time 129.80ms, mfu 0.23%
iter 381: loss 2.1623, time 144.52ms, mfu 0.23%
iter 382: loss 2.1429, time 147.50ms, mfu 0.23%
iter 383: loss 2.1559, time 147.64ms, mfu 0.23%
iter 384: loss 2.1480, time 148.29ms, mfu 0.23%
iter 385: loss 2.1486, time 147.20ms, mfu 0.23%
iter 386: loss 2.1383, time 147.44ms, mfu 0.23%
iter 387: loss 2.1328, time 152.22ms, mfu 0.23%
iter 388: loss 2.1377, time 147.65ms, mfu 0.23%
iter 389: loss 2.1242, time 149.90ms, mfu 0.22%
iter 390: loss 2.1408, time 145.44ms, mfu 0.23%
iter 391: loss 2.1194, time 147.07ms, mfu 0.23%
iter 392: loss 2.1131, time 144.52ms, mfu 0.23%
iter 393: loss 2.1269, time 148.33ms, mfu 0.23%
iter 394: loss 2.1447, time 144.54ms, mfu 0.23%
iter 395: loss 2.1217, time 145.89ms, mfu 0.23%
iter 396: loss 2.1468, time 145.91ms, mfu 0.23%
iter 397: loss 2.1626, time 147.61ms, mfu 0.23%
iter 398: loss 2.1289, time 146.59ms, mfu 0.23%
iter 399: loss 2.1275, time 149.52ms, mfu 0.23%
iter 400: loss 2.1413, time 212.99ms, mfu 0.22%
iter 401: loss 2.1216, time 115.46ms, mfu 0.23%
iter 402: loss 2.1328, time 146.26ms, mfu 0.23%
iter 403: loss 2.1064, time 145.11ms, mfu 0.23%
iter 404: loss 2.1169, time 148.67ms, mfu 0.23%
iter 405: loss 2.1088, time 145.29ms, mfu 0.23%
iter 406: loss 2.1085, time 151.63ms, mfu 0.23%
iter 407: loss 2.0941, time 148.11ms, mfu 0.23%
iter 408: loss 2.0944, time 144.52ms, mfu 0.23%
iter 409: loss 2.0957, time 147.37ms, mfu 0.23%
iter 410: loss 2.1257, time 145.15ms, mfu 0.23%
iter 411: loss 2.1403, time 149.70ms, mfu 0.23%
iter 412: loss 2.0561, time 144.80ms, mfu 0.23%
iter 413: loss 2.0899, time 146.64ms, mfu 0.23%
iter 414: loss 2.1076, time 147.81ms, mfu 0.23%
iter 415: loss 2.0674, time 144.15ms, mfu 0.23%
iter 416: loss 2.0851, time 145.39ms, mfu 0.23%
iter 417: loss 2.0660, time 146.07ms, mfu 0.23%
iter 418: loss 2.0862, time 146.03ms, mfu 0.23%
iter 419: loss 2.0763, time 147.73ms, mfu 0.23%
iter 420: loss 2.0533, time 146.28ms, mfu 0.23%
iter 421: loss 2.0830, time 145.59ms, mfu 0.23%
iter 422: loss 2.0962, time 144.64ms, mfu 0.23%
iter 423: loss 2.0593, time 146.06ms, mfu 0.23%
iter 424: loss 2.0744, time 148.25ms, mfu 0.23%
iter 425: loss 2.0992, time 147.84ms, mfu 0.23%
iter 426: loss 2.0481, time 144.20ms, mfu 0.23%
iter 427: loss 2.0918, time 146.04ms, mfu 0.23%
iter 428: loss 2.0873, time 148.10ms, mfu 0.23%
iter 429: loss 2.0921, time 153.95ms, mfu 0.23%
iter 430: loss 2.0483, time 148.86ms, mfu 0.23%
iter 431: loss 2.0531, time 152.64ms, mfu 0.23%
iter 432: loss 2.0454, time 144.12ms, mfu 0.23%
iter 433: loss 2.0333, time 145.09ms, mfu 0.23%
iter 434: loss 2.0558, time 145.77ms, mfu 0.23%
iter 435: loss 2.0163, time 146.38ms, mfu 0.23%
iter 436: loss 2.0718, time 147.34ms, mfu 0.23%
iter 437: loss 2.0683, time 146.66ms, mfu 0.23%
iter 438: loss 2.0591, time 147.69ms, mfu 0.23%
iter 439: loss 2.0451, time 144.73ms, mfu 0.23%
iter 440: loss 2.0125, time 144.81ms, mfu 0.23%
iter 441: loss 2.0479, time 146.87ms, mfu 0.23%
iter 442: loss 2.0281, time 147.65ms, mfu 0.23%
iter 443: loss 2.0576, time 145.46ms, mfu 0.23%
iter 444: loss 2.0390, time 145.75ms, mfu 0.23%
iter 445: loss 2.0142, time 146.27ms, mfu 0.23%
iter 446: loss 2.0560, time 149.30ms, mfu 0.23%
iter 447: loss 2.0550, time 146.89ms, mfu 0.23%
iter 448: loss 2.0650, time 145.66ms, mfu 0.23%
iter 449: loss 2.0362, time 146.86ms, mfu 0.23%
iter 450: loss 2.0176, time 144.78ms, mfu 0.23%
iter 451: loss 2.0564, time 145.32ms, mfu 0.23%
iter 452: loss 2.0554, time 147.36ms, mfu 0.23%
iter 453: loss 2.0056, time 145.16ms, mfu 0.23%
iter 454: loss 2.0510, time 146.94ms, mfu 0.23%
iter 455: loss 2.0067, time 146.08ms, mfu 0.23%
iter 456: loss 2.0310, time 148.12ms, mfu 0.23%
